family,instance,ppd_orig,n_vars,n_clauses,full_sat,full_wall,full_decisions,full_props,full_conflicts,full_ppd,budget,pre_wall,pre_decisions,pre_props,pre_conflicts,pre_ppd,solved_within_prefix,log_n,rel_err
flat30-60,flat30-14.cnf,2.7333,90,300,True,5.624984623864293e-06,27,91,0,3.3703703703703702,300,3.749999450519681e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-14.cnf,2.7333,90,300,True,5.624984623864293e-06,27,91,0,3.3703703703703702,1000,3.7920253816992044e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-15.cnf,2.8667,90,300,True,4.8330111894756556e-06,28,91,0,3.25,10,4.2079773265868425e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-15.cnf,2.8667,90,300,True,4.8330111894756556e-06,28,91,0,3.25,30,3.958994057029486e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-15.cnf,2.8667,90,300,True,4.8330111894756556e-06,28,91,0,3.25,100,3.875000402331352e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-15.cnf,2.8667,90,300,True,4.8330111894756556e-06,28,91,0,3.25,300,3.6669953260570765e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-15.cnf,2.8667,90,300,True,4.8330111894756556e-06,28,91,0,3.25,1000,3.708992153406143e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-16.cnf,4.0,90,300,True,5.040987161919475e-06,25,91,0,3.64,10,4.415982402861118e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-16.cnf,4.0,90,300,True,5.040987161919475e-06,25,91,0,3.64,30,3.917026333510876e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-16.cnf,4.0,90,300,True,5.040987161919475e-06,25,91,0,3.64,100,3.749999450519681e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-16.cnf,4.0,90,300,True,5.040987161919475e-06,25,91,0,3.64,300,3.875000402331352e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-16.cnf,4.0,90,300,True,5.040987161919475e-06,25,91,0,3.64,1000,3.4999975468963385e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-17.cnf,6.4545,90,300,True,4.750007065013051e-06,28,91,0,3.25,10,4.125002305954695e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-17.cnf,6.4545,90,300,True,4.750007065013051e-06,28,91,0,3.25,30,3.7919962778687477e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-17.cnf,6.4545,90,300,True,4.750007065013051e-06,28,91,0,3.25,100,3.790977643802762e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-17.cnf,6.4545,90,300,True,4.750007065013051e-06,28,91,0,3.25,300,3.7080026231706142e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-17.cnf,6.4545,90,300,True,4.750007065013051e-06,28,91,0,3.25,1000,3.6249984987080097e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-18.cnf,9.4667,90,300,True,5.166017217561603e-06,28,91,0,3.25,10,4.6660134103149176e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-18.cnf,9.4667,90,300,True,5.166017217561603e-06,28,91,0,3.25,30,4.2079773265868425e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-18.cnf,9.4667,90,300,True,5.166017217561603e-06,28,91,0,3.25,100,4.290981451049447e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-18.cnf,9.4667,90,300,True,5.166017217561603e-06,28,91,0,3.25,300,3.7080026231706142e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-18.cnf,9.4667,90,300,True,5.166017217561603e-06,28,91,0,3.25,1000,3.6249984987080097e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-19.cnf,6.8571,90,300,True,4.708999767899513e-06,25,91,0,3.64,10,4.208006430417299e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-19.cnf,6.8571,90,300,True,4.708999767899513e-06,25,91,0,3.64,30,3.8330035749822855e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-19.cnf,6.8571,90,300,True,4.708999767899513e-06,25,91,0,3.64,100,3.790977643802762e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-19.cnf,6.8571,90,300,True,4.708999767899513e-06,25,91,0,3.64,300,3.583991201594472e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-19.cnf,6.8571,90,300,True,4.708999767899513e-06,25,91,0,3.64,1000,3.583991201594472e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-2.cnf,4.4167,90,300,True,4.958012141287327e-06,28,91,0,3.25,10,4.3330073822289705e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-2.cnf,4.4167,90,300,True,4.958012141287327e-06,28,91,0,3.25,30,4.083995008841157e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-2.cnf,4.4167,90,300,True,4.958012141287327e-06,28,91,0,3.25,100,4.083005478605628e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-2.cnf,4.4167,90,300,True,4.958012141287327e-06,28,91,0,3.25,300,4.083005478605628e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-2.cnf,4.4167,90,300,True,4.958012141287327e-06,28,91,0,3.25,1000,3.916997229680419e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-20.cnf,4.7692,90,300,True,4.8330111894756556e-06,28,91,0,3.25,10,4.417001036927104e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-20.cnf,4.7692,90,300,True,4.8330111894756556e-06,28,91,0,3.25,30,4.208006430417299e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-20.cnf,4.7692,90,300,True,4.8330111894756556e-06,28,91,0,3.25,100,3.958004526793957e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-20.cnf,4.7692,90,300,True,4.8330111894756556e-06,28,91,0,3.25,300,3.958004526793957e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-20.cnf,4.7692,90,300,True,4.8330111894756556e-06,28,91,0,3.25,1000,3.875000402331352e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-21.cnf,4.7,90,300,True,4.875008016824722e-06,26,91,0,3.5,10,4.3330073822289705e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-21.cnf,4.7,90,300,True,4.875008016824722e-06,26,91,0,3.5,30,4.165980499237776e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-21.cnf,4.7,90,300,True,4.875008016824722e-06,26,91,0,3.5,100,4.125002305954695e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-21.cnf,4.7,90,300,True,4.875008016824722e-06,26,91,0,3.5,300,4.0000013541430235e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-21.cnf,4.7,90,300,True,4.875008016824722e-06,26,91,0,3.5,1000,3.875000402331352e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-22.cnf,5.2,90,300,True,5.0000089686363935e-06,25,91,0,3.64,10,4.5409833546727896e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-22.cnf,5.2,90,300,True,5.0000089686363935e-06,25,91,0,3.64,30,4.1669991333037615e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-22.cnf,5.2,90,300,True,5.0000089686363935e-06,25,91,0,3.64,100,4.125002305954695e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-22.cnf,5.2,90,300,True,5.0000089686363935e-06,25,91,0,3.64,300,3.915978595614433e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-22.cnf,5.2,90,300,True,5.0000089686363935e-06,25,91,0,3.64,1000,3.875000402331352e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-23.cnf,6.3,90,300,True,4.917004844173789e-06,28,91,0,3.25,10,4.417001036927104e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-23.cnf,6.3,90,300,True,4.917004844173789e-06,28,91,0,3.25,30,4.084024112671614e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-23.cnf,6.3,90,300,True,4.917004844173789e-06,28,91,0,3.25,100,4.125002305954695e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-23.cnf,6.3,90,300,True,4.917004844173789e-06,28,91,0,3.25,300,3.916997229680419e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-23.cnf,6.3,90,300,True,4.917004844173789e-06,28,91,0,3.25,1000,3.9579754229635e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-24.cnf,5.8333,90,300,True,4.8749789129942656e-06,24,91,0,3.7916666666666665,10,4.165980499237776e-06,24,91,0,3.7916666666666665,True,4.499809670330265,0.0
flat30-60,flat30-24.cnf,5.8333,90,300,True,4.8749789129942656e-06,24,91,0,3.7916666666666665,30,3.958004526793957e-06,24,91,0,3.7916666666666665,True,4.499809670330265,0.0
flat30-60,flat30-24.cnf,5.8333,90,300,True,4.8749789129942656e-06,24,91,0,3.7916666666666665,100,3.875000402331352e-06,24,91,0,3.7916666666666665,True,4.499809670330265,0.0
flat30-60,flat30-24.cnf,5.8333,90,300,True,4.8749789129942656e-06,24,91,0,3.7916666666666665,300,3.749999450519681e-06,24,91,0,3.7916666666666665,True,4.499809670330265,0.0
