family,n,mean_ratio,ratio_spread,mean_ppd,ppd_std,within_rho
flat30-60,100,3.333,0.0,4.86,1.76,
flat50-115,999,3.633,0.0,11.24,4.38,
uf100-430,1000,4.3,0.0,17.37,2.65,
uf150-645,100,4.3,0.0,23.98,2.21,
uf50-218,1000,4.36,0.0,9.44,2.33,
uuf50-218,1000,4.36,0.0,12.21,1.24,
uf20-91,1000,4.55,0.0,4.91,1.51,
