family,instance,n_vars,ppd_orig,mode,rep,sat,decisions,propagations,conflicts,ppd
flat30-60,flat30-18.cnf,90,9.4667,clause_shuffle,0,True,28,91,0,3.25
flat30-60,flat30-18.cnf,90,9.4667,clause_shuffle,1,True,28,91,0,3.25
flat30-60,flat30-18.cnf,90,9.4667,clause_shuffle,2,True,28,91,0,3.25
flat30-60,flat30-18.cnf,90,9.4667,clause_shuffle,3,True,28,91,0,3.25
flat30-60,flat30-18.cnf,90,9.4667,clause_shuffle,4,True,28,91,0,3.25
flat30-60,flat30-18.cnf,90,9.4667,clause_shuffle,5,True,28,91,0,3.25
flat30-60,flat30-18.cnf,90,9.4667,clause_shuffle,6,True,28,91,0,3.25
flat30-60,flat30-18.cnf,90,9.4667,clause_shuffle,7,True,28,91,0,3.25
flat30-60,flat30-18.cnf,90,9.4667,clause_shuffle,8,True,28,91,0,3.25
flat30-60,flat30-18.cnf,90,9.4667,clause_shuffle,9,True,28,91,0,3.25
flat30-60,flat30-18.cnf,90,9.4667,clause_shuffle,10,True,28,91,0,3.25
flat30-60,flat30-18.cnf,90,9.4667,clause_shuffle,11,True,28,91,0,3.25
flat30-60,flat30-18.cnf,90,9.4667,var_rename,0,True,28,131,2,4.678571428571429
flat30-60,flat30-18.cnf,90,9.4667,var_rename,1,True,15,127,1,8.466666666666667
flat30-60,flat30-18.cnf,90,9.4667,var_rename,2,True,18,189,3,10.5
flat30-60,flat30-18.cnf,90,9.4667,var_rename,3,True,23,188,3,8.173913043478262
flat30-60,flat30-18.cnf,90,9.4667,var_rename,4,True,15,169,2,11.266666666666667
flat30-60,flat30-18.cnf,90,9.4667,var_rename,5,True,25,151,3,6.04
flat30-60,flat30-18.cnf,90,9.4667,var_rename,6,True,35,243,4,6.942857142857143
flat30-60,flat30-18.cnf,90,9.4667,var_rename,7,True,21,231,3,11.0
flat30-60,flat30-18.cnf,90,9.4667,var_rename,8,True,25,201,4,8.04
flat30-60,flat30-18.cnf,90,9.4667,var_rename,9,True,23,349,6,15.173913043478262
flat30-60,flat30-18.cnf,90,9.4667,var_rename,10,True,26,165,3,6.346153846153846
flat30-60,flat30-18.cnf,90,9.4667,var_rename,11,True,27,233,6,8.62962962962963
flat30-60,flat30-18.cnf,90,9.4667,phases,0,True,12,91,0,7.583333333333333
