instance,family,status,result,variables,clauses,decisions,propagations,conflicts,restarts,props_per_decision,cpu_time,B_req@on-chip (1 us),B_req@PCIe-class (10 us),B_req@tuned-link (50 us),B_req@ECP5 UDP (200 us)
flat50-192.cnf,flat50-115,ok,SAT,150,545,13,174,5,1,13.3846,0.001206,0.7471272955486156,7.471272955486157,37.35636477743078,149.4254591097231
flat50-193.cnf,flat50-115,ok,SAT,150,545,16,177,5,1,11.0625,0.001263,0.903954802259887,9.039548022598872,45.19774011299435,180.7909604519774
flat50-194.cnf,flat50-115,ok,SAT,150,545,17,88,1,1,5.1765,0.001271,1.931807205640877,19.318072056408774,96.59036028204386,386.36144112817544
flat50-195.cnf,flat50-115,ok,SAT,150,545,13,187,4,1,14.3846,0.001233,0.6951879092918816,6.951879092918817,34.75939546459408,139.0375818583763
flat50-196.cnf,flat50-115,ok,SAT,150,545,13,88,1,1,6.7692,0.001244,1.4772794421792828,14.77279442179283,73.86397210896413,295.45588843585654
flat50-197.cnf,flat50-115,ok,SAT,150,545,17,109,2,1,6.4118,0.001219,1.5596244424342618,15.59624442434262,77.98122212171309,311.92488848685235
flat50-198.cnf,flat50-115,ok,SAT,150,545,19,100,1,1,5.2632,0.001242,1.8999848001215989,18.99984800121599,94.99924000607994,379.9969600243198
flat50-199.cnf,flat50-115,ok,SAT,150,545,12,122,3,1,10.1667,0.001238,0.9836033324480903,9.836033324480905,49.18016662240451,196.72066648961805
flat50-2.cnf,flat50-115,ok,SAT,150,545,23,327,13,1,14.2174,0.001232,0.7033634841813553,7.033634841813553,35.168174209067764,140.67269683627106
flat50-20.cnf,flat50-115,ok,SAT,150,545,19,139,3,1,7.3158,0.00121,1.3669045080510676,13.669045080510676,68.34522540255338,273.3809016102135
flat50-200.cnf,flat50-115,ok,SAT,150,545,20,241,9,1,12.05,0.001236,0.8298755186721991,8.298755186721992,41.49377593360995,165.9751037344398
flat50-201.cnf,flat50-115,ok,SAT,150,545,18,134,2,1,7.4444,0.001339,1.343291601740906,13.432916017409061,67.1645800870453,268.6583203481812
flat50-202.cnf,flat50-115,ok,SAT,150,545,13,130,2,1,10.0,0.00123,1.0,10.000000000000002,50.0,200.0
flat50-203.cnf,flat50-115,ok,SAT,150,545,38,578,21,1,15.2105,0.001252,0.6574405838072385,6.574405838072385,32.87202919036192,131.48811676144769
flat50-204.cnf,flat50-115,ok,SAT,150,545,14,186,4,1,13.2857,0.001224,0.7526889813860015,7.5268898138600155,37.634449069300075,150.5377962772003
flat50-205.cnf,flat50-115,ok,SAT,150,545,16,79,0,1,4.9375,0.001203,2.0253164556962027,20.253164556962027,101.26582278481013,405.0632911392405
flat50-206.cnf,flat50-115,ok,SAT,150,545,25,332,12,1,13.28,0.001289,0.7530120481927711,7.530120481927712,37.65060240963856,150.60240963855424
flat50-207.cnf,flat50-115,ok,SAT,150,545,27,227,7,1,8.4074,0.001204,1.189428360729833,11.894283607298332,59.471418036491656,237.88567214596662
flat50-208.cnf,flat50-115,ok,SAT,150,545,22,90,1,1,4.0909,0.001209,2.444449876555281,24.44449876555281,122.22249382776405,488.8899753110562
flat50-209.cnf,flat50-115,ok,SAT,150,545,16,110,3,1,6.875,0.001232,1.4545454545454546,14.545454545454547,72.72727272727273,290.90909090909093
flat50-21.cnf,flat50-115,ok,SAT,150,545,13,107,1,1,8.2308,0.001207,1.2149487291636292,12.149487291636294,60.74743645818146,242.98974583272584
flat50-210.cnf,flat50-115,ok,SAT,150,545,26,574,16,1,22.0769,0.001367,0.4529621459534627,4.529621459534628,22.648107297673135,90.59242919069254
flat50-211.cnf,flat50-115,ok,SAT,150,545,16,105,1,1,6.5625,0.001204,1.5238095238095237,15.23809523809524,76.19047619047619,304.76190476190476
flat50-212.cnf,flat50-115,ok,SAT,150,545,18,268,9,1,14.8889,0.001237,0.671641289819933,6.716412898199331,33.58206449099665,134.3282579639866
flat50-213.cnf,flat50-115,ok,SAT,150,545,25,338,9,1,13.52,0.001217,0.7396449704142012,7.396449704142013,36.98224852071006,147.92899408284023
flat50-214.cnf,flat50-115,ok,SAT,150,545,12,141,3,1,11.75,0.001221,0.851063829787234,8.510638297872342,42.5531914893617,170.2127659574468
flat50-215.cnf,flat50-115,ok,SAT,150,545,9,82,0,1,9.1111,0.001272,1.097562314100383,10.975623141003831,54.87811570501915,219.5124628200766
flat50-216.cnf,flat50-115,ok,SAT,150,545,14,211,5,1,15.0714,0.001226,0.6635083668405058,6.635083668405059,33.17541834202529,132.70167336810115
flat50-217.cnf,flat50-115,ok,SAT,150,545,20,118,3,1,5.9,0.001211,1.694915254237288,16.949152542372882,84.7457627118644,338.9830508474576
flat50-218.cnf,flat50-115,ok,SAT,150,545,23,432,14,1,18.7826,0.001236,0.5324076538924324,5.3240765389243245,26.620382694621618,106.48153077848647
flat50-219.cnf,flat50-115,ok,SAT,150,545,15,157,4,1,10.4667,0.00122,0.955410970028758,9.554109700287581,47.770548501437894,191.08219400575157
flat50-22.cnf,flat50-115,ok,SAT,150,545,15,98,1,1,6.5333,0.001248,1.53062005418395,15.306200541839502,76.5310027091975,306.12401083679
flat50-220.cnf,flat50-115,ok,SAT,150,545,22,255,6,1,11.5909,0.001213,0.8627457747025684,8.627457747025685,43.13728873512842,172.5491549405137
flat50-221.cnf,flat50-115,ok,SAT,150,545,23,225,8,1,9.7826,0.001267,1.0222231308650052,10.222231308650054,51.11115654325026,204.44462617300104
flat50-222.cnf,flat50-115,ok,SAT,150,545,16,163,2,1,10.1875,0.001197,0.9815950920245399,9.8159509202454,49.079754601226995,196.31901840490798
flat50-223.cnf,flat50-115,ok,SAT,150,545,13,132,1,1,10.1538,0.001208,0.9848529614528551,9.848529614528552,49.24264807264275,196.970592290571
flat50-224.cnf,flat50-115,ok,SAT,150,545,14,101,2,1,7.2143,0.001257,1.386135869037883,13.861358690378834,69.30679345189415,277.2271738075766
flat50-225.cnf,flat50-115,ok,SAT,150,545,14,85,0,1,6.0714,0.001205,1.6470665744309385,16.47066574430939,82.35332872154693,329.4133148861877
flat50-226.cnf,flat50-115,ok,SAT,150,545,19,278,10,1,14.6316,0.001236,0.6834522540255338,6.834522540255338,34.17261270127669,136.69045080510676
flat50-227.cnf,flat50-115,ok,SAT,150,545,11,145,3,1,13.1818,0.001206,0.7586217360299807,7.586217360299808,37.931086801499035,151.72434720599614
flat50-228.cnf,flat50-115,ok,SAT,150,545,17,189,6,1,11.1176,0.001225,0.8994747067712456,8.994747067712458,44.97373533856228,179.8949413542491
flat50-229.cnf,flat50-115,ok,SAT,150,545,15,151,3,1,10.0667,0.001231,0.9933741941251849,9.933741941251851,49.66870970625925,198.674838825037
flat50-23.cnf,flat50-115,ok,SAT,150,545,14,275,9,1,19.6429,0.001237,0.5090897983495308,5.090897983495309,25.454489917476543,101.81795966990617
flat50-230.cnf,flat50-115,ok,SAT,150,545,10,79,0,1,7.9,0.001261,1.2658227848101264,12.658227848101268,63.291139240506325,253.1645569620253
flat50-231.cnf,flat50-115,ok,SAT,150,545,18,76,0,1,4.2222,0.001216,2.3684335180711478,23.684335180711482,118.42167590355739,473.68670361422954
flat50-232.cnf,flat50-115,ok,SAT,150,545,20,92,1,1,4.6,0.001241,2.173913043478261,21.739130434782613,108.69565217391305,434.7826086956522
flat50-233.cnf,flat50-115,ok,SAT,150,545,24,236,8,1,9.8333,0.001257,1.0169525998393216,10.169525998393217,50.84762999196608,203.39051996786432
flat50-234.cnf,flat50-115,ok,SAT,150,545,15,135,5,1,9.0,0.001216,1.1111111111111112,11.111111111111112,55.55555555555556,222.22222222222223
flat50-235.cnf,flat50-115,ok,SAT,150,545,32,241,7,1,7.5312,0.001222,1.3278096452092627,13.27809645209263,66.39048226046314,265.5619290418526
flat50-236.cnf,flat50-115,ok,SAT,150,545,21,221,6,1,10.5238,0.001238,0.9502271042779225,9.502271042779226,47.511355213896124,190.0454208555845
flat50-237.cnf,flat50-115,ok,SAT,150,545,13,77,0,1,5.9231,0.001458,1.6883051104995694,16.883051104995698,84.41525552497848,337.6610220999139
flat50-238.cnf,flat50-115,ok,SAT,150,545,13,85,1,1,6.5385,0.001371,1.5294027682190106,15.294027682190107,76.47013841095053,305.8805536438021
flat50-239.cnf,flat50-115,ok,SAT,150,545,22,320,12,1,14.5455,0.001341,0.6874978515692138,6.874978515692139,34.37489257846069,137.49957031384275
