size,rtt_us
8,1453.2500063069165
8,673.9170057699084
8,798.4160038176924
8,862.5419868621975
8,797.04201198183
8,784.2500053811818
8,796.0830116644502
8,1410.2499990258366
8,794.9999999254942
8,788.2080099079758
8,760.6250001117587
8,1178.584003355354
8,800.0830130185932
8,767.7499961573631
8,787.7500029280782
8,765.5840017832816
8,834.0830099768937
8,769.4160158280283
8,925.7499768864363
8,1095.4170138575137
8,657.8750035259873
8,783.4169955458492
8,1165.8330040518194
8,796.9999860506505
8,767.4170192331076
8,782.2080224286765
8,782.9999958630651
8,1121.999986935407
8,804.5420108828694
8,766.957993619144
8,1790.5829881783575
8,800.4170085769147
8,2418.083982774988
8,805.3749916143715
8,763.332995120436
8,2196.5830237604678
8,886.3750263117254
8,650.1669995486736
8,781.2500116415322
8,782.8329980839044
8,776.2919995002449
8,2533.9579733554274
8,807.3329809121788
8,763.1670159753412
8,784.5000072848052
8,1095.7499907817692
8,781.0000097379088
8,759.9579985253513
8,785.1249829400331
8,794.5830002427101
8,786.7079984862357
8,802.3749978747219
8,772.084022173658
8,784.7920060157776
8,794.4999961182475
8,800.4999835975468
8,782.4159984011203
8,793.3339802548289
8,785.6250158511102
8,790.2079960331321
8,802.8330048546195
8,772.2079753875732
8,785.0000110920519
8,879.9580100458115
8,702.3329962976277
8,787.0419940445572
8,955.9160098433495
8,800.665991846472
8,810.9160116873682
8,767.4579974263906
8,795.9580107126385
8,806.2080014497042
8,777.2500102873892
8,785.3750139474869
8,796.4999822434038
8,798.9590230863541
8,799.0839949343354
8,826.4159841928631
8,778.6249916534871
8,794.9999999254942
8,777.6249840389937
8,823.791982838884
8,793.3340093586594
8,814.6250038407743
8,789.834011811763
8,779.666006565094
8,789.2499852459878
8,791.8750052340329
8,789.3329893704504
8,783.7909797672182
8,793.1250147521496
8,792.707985965535
8,787.8750038798898
8,785.5419826228172
8,790.2079960331321
8,788.1250057835132
8,791.1249995231628
8,820.5409976653755
8,783.2919945940375
8,791.1669963505119
8,789.4580194260925
8,794.2500233184546
8,782.4169879313558
8,799.4589977897704
8,789.1249842941761
8,789.5830203779042
8,783.5830037947744
8,790.5830279923975
8,782.7920198906213
8,791.7920011095703
8,786.7919921409339
8,788.4580118115991
8,785.9159959480166
8,784.4159845262766
8,789.6670140326023
8,802.6249997783452
8,803.165981778875
8,795.7920024637133
8,806.1669941525906
8,777.0410156808794
8,797.3749889060855
8,783.7500015739352
8,933.9580137748271
8,657.665979815647
8,791.0420245025307
8,787.5000010244548
8,788.5000086389482
8,781.8749872967601
8,788.4170045144856
8,782.542017986998
8,792.7499827928841
8,782.7079971320927
8,792.1660144347697
8,783.9580066502094
8,789.042009273544
8,790.6660030130297
8,784.5000072848052
8,789.7090108599514
8,788.3749785833061
8,789.834011811763
8,783.5419964976609
8,797.5830230861902
8,782.7919907867908
8,792.8749837446958
8,835.1250144187361
8,794.0419891383499
8,802.2919937502593
8,793.1249856483191
8,782.0000173524022
8,786.3340142648667
8,3056.832996662706
8,803.165981778875
8,784.5830114092678
8,786.4589861128479
8,791.4160087238997
8,800.9999874047935
8,2625.7919962517917
8,809.7920217551291
8,786.5000225137919
8,790.6660030130297
8,787.4170260038227
8,788.7499814387411
8,782.582996180281
8,789.5830203779042
8,787.8749747760594
8,788.5830127634108
8,795.7080088090152
8,795.208994532004
8,790.9169944468886
8,800.6249845493585
8,811.6250101011246
8,817.3329988494515
8,760.1669931318611
8,2300.165971973911
8,982.2910069487989
8,677.3330096621066
8,795.3339954838157
8,784.2079794500023
8,794.3750242702663
8,782.8329980839044
8,787.6669988036156
8,789.2920111771673
8,803.6670042201877
8,2876.832993933931
8,1483.0000000074506
8,908.3330223802477
8,1071.5419775806367
8,661.6660102736205
8,804.1670080274343
8,861.1250086687505
8,885.6249914970249
8,891.4170030038804
8,846.95901023224
8,828.8750250358135
8,839.9169892072678
8,863.7919963803142
8,861.832988448441
8,866.2500185891986
8,868.9159876666963
8,859.1249934397638
16,887.8749795258045
16,870.9999965503812
16,883.0000006128103
16,871.8330063857138
16,837.3339951504022
16,862.5419868621975
16,874.8749969527125
16,862.9999938420951
16,867.3340198583901
16,872.7080130483955
16,871.7080054339021
16,868.8750094734132
16,876.1659846641123
16,870.3340135980397
16,876.1250064708292
16,866.7920192237943
16,860.749976709485
16,866.875023348257
16,886.9999728631228
16,866.2920154165477
16,868.4579806867987
16,867.1670220792294
16,867.5419958308339
16,862.7909992355853
16,850.1249831169844
16,864.9590017739683
16,863.7919963803142
16,882.9169964883476
16,871.7500022612512
16,872.7500098757446
16,868.1659819558263
16,865.792011609301
16,866.0829917062074
16,873.7079915590584
16,871.1670234333724
16,865.9159939270467
16,865.0830131955445
16,864.707981236279
16,871.7919990886003
16,879.8339986242354
16,882.5410041026771
16,874.8330001253635
16,870.1250189915299
16,880.9579885564744
16,862.1669840067625
16,876.5000093262643
16,879.2500011622906
16,867.8750018589199
16,864.9579831399024
16,877.8750197961926
16,869.3329873494804
16,872.0000041648746
16,872.5000079721212
16,863.1249947939068
16,867.4589917063713
16,876.4580124989152
16,870.5419895704836
16,880.5829857010394
16,887.4999766703695
16,883.7910136207938
16,894.6250018198043
16,887.3330079950392
16,890.0839893613011
16,877.7499897405505
16,886.2910035531968
16,878.0419884715229
16,893.9160034060478
16,881.5830224193633
16,891.2089979276061
16,906.4999758265913
16,893.8750252127647
16,880.7910198811442
16,895.7080135587603
16,879.9169736448675
16,885.2910250425339
16,877.7499897405505
