solver,instance,family,result,propagations,decisions,props_per_decision,status
minisat,ii32e2.cnf,inductive-inference,SAT,480,45,10.6667,ok
minisat,ii16d2.cnf,inductive-inference,SAT,888,49,18.1224,ok
minisat,ii32d3.cnf,inductive-inference,SAT,847689,35130,24.1301,ok
minisat,ii8b1.cnf,inductive-inference,SAT,284,120,2.3667,ok
minisat,ii8c2.cnf,inductive-inference,SAT,1193,559,2.1342,ok
minisat,ii32e4.cnf,inductive-inference,SAT,12251,841,14.5672,ok
minisat,ii16c2.cnf,inductive-inference,SAT,12820,359,35.7103,ok
minisat,ii16a1.cnf,inductive-inference,SAT,1915,916,2.0906,ok
minisat,ii8c1.cnf,inductive-inference,SAT,497,265,1.8755,ok
minisat,ii16b2.cnf,inductive-inference,SAT,130936,2419,54.1282,ok
minisat,ii32c2.cnf,inductive-inference,SAT,489,25,19.5600,ok
minisat,ii8b3.cnf,inductive-inference,SAT,740,305,2.4262,ok
minisat,logistics.c.cnf,logistics,SAT,13889,1880,7.3878,ok
minisat,logistics.a.cnf,logistics,SAT,2663,421,6.3254,ok
minisat,logistics.b.cnf,logistics,SAT,10403,932,11.1620,ok
minisat,logistics.d.cnf,logistics,SAT,16177,526,30.7548,ok
minisat,par16-1-c.cnf,parity,SAT,481690,7580,63.5475,ok
minisat,par8-5.cnf,parity,SAT,294,9,32.6667,ok
minisat,par32-5-c.cnf,parity,,,,,timeout
minisat,par16-2.cnf,parity,SAT,566215,8397,67.4306,ok
minisat,par8-3.cnf,parity,SAT,244,5,48.8000,ok
minisat,par32-3-c.cnf,parity,,,,,timeout
minisat,par16-4.cnf,parity,SAT,27958,584,47.8733,ok
minisat,par32-4-c.cnf,parity,,,,,timeout
minisat,par32-2-c.cnf,parity,,,,,timeout
minisat,par8-4.cnf,parity,SAT,277,9,30.7778,ok
minisat,par32-1-c.cnf,parity,,,,,timeout
minisat,par8-2-c.cnf,parity,SAT,236,27,8.7407,ok
minisat,par32-1.cnf,parity,,,,,timeout
minisat,par8-1-c.cnf,parity,SAT,438,49,8.9388,ok
minisat,par32-2.cnf,parity,,,,,timeout
minisat,par8-3-c.cnf,parity,SAT,422,26,16.2308,ok
minisat,par32-4.cnf,parity,,,,,timeout
minisat,par16-3-c.cnf,parity,SAT,96712,1449,66.7440,ok
minisat,par8-2.cnf,parity,SAT,236,4,59.0000,ok
minisat,par16-2-c.cnf,parity,SAT,647912,8654,74.8685,ok
minisat,par32-3.cnf,parity,,,,,timeout
minisat,par16-5-c.cnf,parity,SAT,206337,3355,61.5013,ok
minisat,par8-1.cnf,parity,SAT,509,22,23.1364,ok
minisat,par32-5.cnf,parity,,,,,timeout
minisat,par16-1.cnf,parity,SAT,37724,665,56.7278,ok
minisat,par8-5-c.cnf,parity,SAT,131,19,6.8947,ok
minisat,par8-4-c.cnf,parity,SAT,268,25,10.7200,ok
minisat,par16-4-c.cnf,parity,SAT,113186,1843,61.4140,ok
minisat,par16-3.cnf,parity,SAT,183184,3034,60.3771,ok
minisat,par16-5.cnf,parity,SAT,161996,2795,57.9592,ok
minisat,ssa7552-038.cnf,ssa,SAT,304,21,14.4762,ok
minisat,ssa7552-159.cnf,ssa,SAT,139,1,139.0000,ok
minisat,ssa2670-130.cnf,ssa,UNSAT,1388,164,8.4634,ok
minisat,ssa0432-003.cnf,ssa,UNSAT,110,0,,zero_decisions
minisat,ssa2670-141.cnf,ssa,UNSAT,2424,282,8.5957,ok
minisat,ssa7552-158.cnf,ssa,SAT,195,1,195.0000,ok
minisat,ssa6288-047.cnf,ssa,UNSAT,141,0,,zero_decisions
minisat,ssa7552-160.cnf,ssa,SAT,30,1,30.0000,ok
cadical,e0ddr2-10-by-5-1.cnf,Bejing,SAT,27847,9230,3.0170,ok
cadical,ewddr2-10-by-5-1.cnf,Bejing,SAT,,,,parse_error
cadical,3bitadd_31.cnf,Bejing,SAT,390930,12701,30.7795,ok
cadical,2bitadd_11.cnf,Bejing,SAT,31890,1372,23.2434,ok
cadical,4blocksb.cnf,Bejing,SAT,124494,3798,32.7788,ok
cadical,2bitadd_12.cnf,Bejing,SAT,38570,1395,27.6487,ok
cadical,2bitcomp_5.cnf,Bejing,SAT,,,,parse_error
cadical,e0ddr2-10-by-5-4.cnf,Bejing,SAT,,,,parse_error
cadical,enddr2-10-by-5-8.cnf,Bejing,SAT,,,,parse_error
cadical,3blocks.cnf,Bejing,SAT,13131,600,21.8850,ok
cadical,4blocks.cnf,Bejing,SAT,188491,7161,26.3219,ok
cadical,2bitmax_6.cnf,Bejing,SAT,,,,parse_error
cadical,2bitadd_10.cnf,Bejing,UNSAT,56461344,1308073,43.1638,ok
cadical,3bitadd_32.cnf,Bejing,SAT,1137255,23603,48.1826,ok
cadical,ewddr2-10-by-5-8.cnf,Bejing,SAT,36319,9614,3.7777,ok
cadical,enddr2-10-by-5-1.cnf,Bejing,SAT,,,,parse_error
cadical,bf1355-075.cnf,bf,UNSAT,,,,parse_error
cadical,bf2670-001.cnf,bf,UNSAT,,,,parse_error
cadical,bf0432-007.cnf,bf,UNSAT,4555,1032,4.4138,ok
cadical,bf1355-638.cnf,bf,UNSAT,,,,parse_error
cadical,huge.cnf,blocksworld,SAT,,,,parse_error
cadical,anomaly.cnf,blocksworld,SAT,,,,parse_error
cadical,bw_large.c.cnf,blocksworld,SAT,441275,2436,181.1474,ok
cadical,bw_large.a.cnf,blocksworld,SAT,3444,118,29.1864,ok
cadical,medium.cnf,blocksworld,SAT,,,,parse_error
