instance,family,status,result,variables,clauses,decisions,propagations,conflicts,restarts,props_per_decision,cpu_time
flat50-550.cnf,flat50-115,ok,SAT,150,545,13,136,4,1,10.4615,0.00125
flat50-551.cnf,flat50-115,ok,SAT,150,545,20,164,4,1,8.2000,0.001307
flat50-552.cnf,flat50-115,ok,SAT,150,545,21,257,7,1,12.2381,0.00122
flat50-553.cnf,flat50-115,ok,SAT,150,545,26,327,15,1,12.5769,0.001274
flat50-554.cnf,flat50-115,ok,SAT,150,545,21,223,6,1,10.6190,0.001235
flat50-555.cnf,flat50-115,ok,SAT,150,545,19,178,6,1,9.3684,0.001287
flat50-556.cnf,flat50-115,ok,SAT,150,545,21,279,7,1,13.2857,0.001268
flat50-557.cnf,flat50-115,ok,SAT,150,545,18,143,4,1,7.9444,0.001279
flat50-558.cnf,flat50-115,ok,SAT,150,545,45,620,24,1,13.7778,0.00137
flat50-559.cnf,flat50-115,ok,SAT,150,545,26,331,14,1,12.7308,0.001303
flat50-56.cnf,flat50-115,ok,SAT,150,545,17,153,5,1,9.0000,0.001321
flat50-560.cnf,flat50-115,ok,SAT,150,545,16,140,4,1,8.7500,0.001247
flat50-561.cnf,flat50-115,ok,SAT,150,545,15,101,1,1,6.7333,0.001245
flat50-562.cnf,flat50-115,ok,SAT,150,545,19,391,11,1,20.5789,0.001274
flat50-563.cnf,flat50-115,ok,SAT,150,545,18,287,8,1,15.9444,0.001279
flat50-564.cnf,flat50-115,ok,SAT,150,545,18,99,1,1,5.5000,0.001241
flat50-565.cnf,flat50-115,ok,SAT,150,545,21,340,10,1,16.1905,0.001328
flat50-566.cnf,flat50-115,ok,SAT,150,545,16,219,5,1,13.6875,0.001318
flat50-567.cnf,flat50-115,ok,SAT,150,545,14,86,1,1,6.1429,0.00124
flat50-568.cnf,flat50-115,ok,SAT,150,545,20,129,3,1,6.4500,0.001348
flat50-569.cnf,flat50-115,ok,SAT,150,545,62,1280,46,1,20.6452,0.001336
flat50-57.cnf,flat50-115,ok,SAT,150,545,20,243,9,1,12.1500,0.001288
flat50-570.cnf,flat50-115,ok,SAT,150,545,26,482,17,1,18.5385,0.001291
flat50-571.cnf,flat50-115,ok,SAT,150,545,26,416,13,1,16.0000,0.001256
flat50-572.cnf,flat50-115,ok,SAT,150,545,20,170,3,1,8.5000,0.001268
flat50-573.cnf,flat50-115,ok,SAT,150,545,20,182,8,1,9.1000,0.001232
flat50-574.cnf,flat50-115,ok,SAT,150,545,23,129,3,1,5.6087,0.001201
flat50-575.cnf,flat50-115,ok,SAT,150,545,20,156,3,1,7.8000,0.001232
flat50-576.cnf,flat50-115,ok,SAT,150,545,12,115,2,1,9.5833,0.001228
flat50-577.cnf,flat50-115,ok,SAT,150,545,19,196,3,1,10.3158,0.001254
flat50-578.cnf,flat50-115,ok,SAT,150,545,21,364,8,1,17.3333,0.001193
flat50-579.cnf,flat50-115,ok,SAT,150,545,15,76,0,1,5.0667,0.001224
flat50-58.cnf,flat50-115,ok,SAT,150,545,13,85,2,1,6.5385,0.001217
flat50-580.cnf,flat50-115,ok,SAT,150,545,13,239,7,1,18.3846,0.001312
flat50-581.cnf,flat50-115,ok,SAT,150,545,20,321,12,1,16.0500,0.001298
flat50-582.cnf,flat50-115,ok,SAT,150,545,12,137,2,1,11.4167,0.001284
flat50-583.cnf,flat50-115,ok,SAT,150,545,18,277,8,1,15.3889,0.001227
flat50-584.cnf,flat50-115,ok,SAT,150,545,26,344,9,1,13.2308,0.001247
flat50-585.cnf,flat50-115,ok,SAT,150,545,16,183,4,1,11.4375,0.001249
flat50-586.cnf,flat50-115,ok,SAT,150,545,12,113,2,1,9.4167,0.001283
flat50-587.cnf,flat50-115,ok,SAT,150,545,30,373,15,1,12.4333,0.001344
flat50-588.cnf,flat50-115,ok,SAT,150,545,17,136,3,1,8.0000,0.001286
flat50-589.cnf,flat50-115,ok,SAT,150,545,25,315,11,1,12.6000,0.001261
flat50-59.cnf,flat50-115,ok,SAT,150,545,27,298,8,1,11.0370,0.001284
flat50-590.cnf,flat50-115,ok,SAT,150,545,23,228,5,1,9.9130,0.001361
flat50-591.cnf,flat50-115,ok,SAT,150,545,26,132,5,1,5.0769,0.001278
flat50-592.cnf,flat50-115,ok,SAT,150,545,24,393,12,1,16.3750,0.001287
flat50-593.cnf,flat50-115,ok,SAT,150,545,22,314,10,1,14.2727,0.001253
flat50-594.cnf,flat50-115,ok,SAT,150,545,18,190,4,1,10.5556,0.001221
flat50-595.cnf,flat50-115,ok,SAT,150,545,14,124,2,1,8.8571,0.001253
flat50-596.cnf,flat50-115,ok,SAT,150,545,17,277,5,1,16.2941,0.001212
flat50-597.cnf,flat50-115,ok,SAT,150,545,14,228,6,1,16.2857,0.001225
flat50-598.cnf,flat50-115,ok,SAT,150,545,21,257,7,1,12.2381,0.001231
