solver,instance,family,result,propagations,decisions,props_per_decision,status
cadical,uf150-069.cnf,uf150-645,SAT,133728,6043,22.1294,ok
cadical,uf150-029.cnf,uf150-645,SAT,22978,894,25.7025,ok
cadical,uf150-054.cnf,uf150-645,SAT,99938,3800,26.2995,ok
cadical,uf150-06.cnf,uf150-645,SAT,51952,1985,26.1723,ok
cadical,uf150-047.cnf,uf150-645,SAT,48585,1887,25.7472,ok
cadical,uf150-085.cnf,uf150-645,SAT,10703,502,21.3207,ok
cadical,uf150-053.cnf,uf150-645,SAT,130372,6081,21.4392,ok
cadical,uf150-070.cnf,uf150-645,SAT,62575,2488,25.1507,ok
cadical,uf150-031.cnf,uf150-645,SAT,65270,2632,24.7986,ok
cadical,uf150-041.cnf,uf150-645,SAT,13836,663,20.8688,ok
cadical,uf150-084.cnf,uf150-645,SAT,125537,4774,26.2960,ok
cadical,uf150-025.cnf,uf150-645,SAT,146422,6399,22.8820,ok
cadical,uf150-052.cnf,uf150-645,SAT,72795,2692,27.0412,ok
cadical,uf150-051.cnf,uf150-645,SAT,74251,3088,24.0450,ok
cadical,uf150-080.cnf,uf150-645,SAT,64187,2542,25.2506,ok
cadical,uf150-058.cnf,uf150-645,SAT,9215,365,25.2466,ok
cadical,uf150-082.cnf,uf150-645,SAT,24305,1298,18.7250,ok
cadical,uf150-017.cnf,uf150-645,SAT,14133,712,19.8497,ok
cadical,uf150-019.cnf,uf150-645,SAT,93702,3620,25.8845,ok
cadical,uf150-088.cnf,uf150-645,SAT,15049,601,25.0399,ok
cadical,uf150-068.cnf,uf150-645,SAT,41911,1594,26.2930,ok
cadical,uf150-05.cnf,uf150-645,SAT,18619,693,26.8672,ok
cadical,uf150-083.cnf,uf150-645,SAT,48457,1893,25.5980,ok
cadical,uf150-010.cnf,uf150-645,SAT,66125,2923,22.6223,ok
cadical,uf150-034.cnf,uf150-645,SAT,58394,2187,26.7005,ok
cadical,uf150-040.cnf,uf150-645,SAT,19220,736,26.1141,ok
cadical,uf150-044.cnf,uf150-645,SAT,145628,5421,26.8637,ok
cadical,uf150-066.cnf,uf150-645,SAT,57794,2424,23.8424,ok
cadical,uf150-035.cnf,uf150-645,SAT,27083,1057,25.6225,ok
cadical,uf150-036.cnf,uf150-645,SAT,2101,100,21.0100,ok
cadical,uf150-01.cnf,uf150-645,SAT,79858,3523,22.6676,ok
cadical,uf150-02.cnf,uf150-645,SAT,35457,1391,25.4903,ok
cadical,uf150-048.cnf,uf150-645,SAT,39618,1925,20.5808,ok
cadical,uf150-049.cnf,uf150-645,SAT,68274,2432,28.0732,ok
cadical,uf150-098.cnf,uf150-645,SAT,15867,625,25.3872,ok
cadical,uf150-063.cnf,uf150-645,SAT,150074,6813,22.0276,ok
cadical,uf150-020.cnf,uf150-645,SAT,23516,842,27.9287,ok
cadical,uf150-089.cnf,uf150-645,SAT,31008,1210,25.6264,ok
cadical,uf150-091.cnf,uf150-645,SAT,131773,5801,22.7156,ok
cadical,uf150-065.cnf,uf150-645,SAT,20486,699,29.3076,ok
cadical,uf150-079.cnf,uf150-645,SAT,72783,3508,20.7477,ok
cadical,uf150-096.cnf,uf150-645,SAT,15343,587,26.1380,ok
cadical,uf150-09.cnf,uf150-645,SAT,10628,395,26.9063,ok
cadical,uf150-073.cnf,uf150-645,SAT,47570,1841,25.8392,ok
cadical,uf150-055.cnf,uf150-645,SAT,64508,2548,25.3171,ok
cadical,uf20-0801.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0997.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-062.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0730.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0903.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-042.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0585.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0519.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0404.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0507.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0998.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0554.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0248.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0857.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-023.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0690.cnf,uf20-91,SAT,,,,parse_error
