instance,family,status,result,completed,variables,clauses,decisions,propagations,conflicts,restarts,props_per_decision,cpu_time,download_bytes,wall_total,error
99d134de6323a845a2828596a48bbb1d-php17-mixed-15percent-blocked.cnf,sc2023-main,ok,INDET,False,460,4494,865734,26737962,568403,1196,30.8847,9.98058,11732,11.08,
9a413c250f82a93d513d4092ba654ee2-asconhashv12_opt64_H4_M2-ldRf_m1_2_U21.c.cnf,sc2023-main,ok,INDET,False,127008,296562,949005,61714854,191759,509,65.0311,9.97781,495628,11.86,
9c7043290cee8127c3626d8067759267-stb_531_83.apx_2_DC-AD.cnf,sc2023-main,ok,INDET,False,1062,19412,442201,36511179,309964,763,82.5669,9.98822,46792,11.27,
9de6ddddf7fde06bf2efd955e2bd1a83-SCPC-700-84.cnf,sc2023-main,ok,INDET,False,700,27377,239450,5020228,99054,255,20.9657,9.97344,231272,11.64,
9e18c079efdc17ceade5c7a330b507d2-SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,sc2023-main,ok,INDET,False,250016,810461,12194745,107112831,185386,508,8.7835,9.97016,1376072,12.15,
9e7f2b92c6e46d03ddcafd798aa80cb6-hash_table_find_safety_size_17.cnf,sc2023-main,no_decisions,INDET,False,9201517,36830887,0,893096,0,1,,10.3702,67933404,21.34,
9f3ef12b5b68f92eb9265721ea73bb03-asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,sc2023-main,ok,INDET,False,158682,372495,959167,67568114,174524,476,70.4446,9.98043,629656,11.90,
9fe43145e48a0ef0096bb72531f1a0e3-16_1.cnf,sc2023-main,ok,INDET,False,2688,8768,403589,74114176,344041,812,183.6378,9.98779,15680,11.09,
a09a2d7397732447bdcc9651973767b7-TableSymModel_output_6_5_6.bul_.dimacs.cnf,sc2023-main,ok,INDET,False,9090,95935,1596584,90584978,424677,1021,56.7367,9.95547,66892,11.32,
a0c7aea176b5a2b65c27c8af7039326b-grs-160-64.cnf,sc2023-main,ok,INDET,False,224116,659680,776683,163481239,259030,612,210.4864,9.97366,1279036,12.10,
a1276d5dcb822aa03806df58fa9ca1c8-grs-128-32.cnf,sc2023-main,ok,INDET,False,94810,279158,1031838,175118631,435091,1021,169.7152,9.97989,556428,11.87,
a18b6fbdfee43c007e07dedf15477797-SCPC-700-86.cnf,sc2023-main,ok,INDET,False,700,27447,241450,5041688,95411,255,20.8809,9.97704,236008,11.64,
a292411f3f563a47c05a78f8295163dc-hash_table_find_safety_size_26.cnf,sc2023-main,parse_error,rc1,False,,,,,,,,,121062324,27.83,
a45b60e53917968f922b97c6f8aa8db3-unsat-set-b-fclqcolor-10-07-09.sat05-1282.reshuffled-07.cnf,sc2023-main,ok,INDET,False,205,4549,1464867,18517343,1200481,2271,12.6410,9.98875,18180,11.16,
a4941208671f6ebfd118e4e563538c31-SCPC-1000-20.cnf,sc2023-main,ok,INDET,False,1000,51095,257154,6078964,85293,254,23.6394,9.97541,128908,11.57,
a4b05fbc5be28207b704e1fae4b7c8a0-FileObject_open_12.cnf,sc2023-main,ok,INDET,False,228,1915,1554087,29858587,1197516,2265,19.2129,9.99516,3508,10.97,
a552a058e6376a36b1f1b2724f228364-IBM_FV_2004_rule_batch_1_31_1_SAT_dat.k40.debugged.cnf,sc2023-main,ok,INDET,False,52444,182140,639060,115039073,240539,554,180.0129,9.93934,320596,11.68,
a64f3c1afd7e0f6165efbe9fc2fc8003-pmg-12-UNSAT.sat05-3940.reshuffled-07.cnf,sc2023-main,ok,INDET,False,190,632,3430939,77001237,2943590,5118,22.4432,9.99206,3216,10.94,
a6d7268b35eec18656a85ad91b0413e9-php17-mixed-35percent-blocked.cnf,sc2023-main,ok,INDET,False,460,8655,978968,26507399,610404,1278,27.0769,9.97775,22872,11.12,
a7a9ca7e06b6b1e979950ea96183d07d-rook-47-0-1.cnf,sc2023-main,ok,INDET,False,108144,417258,1518380,211096532,149053,386,139.0275,9.97569,706072,11.90,
a7bbcc6535cca5a37f015f29090e8797-grs-48-256.cnf,sc2023-main,ok,INDET,False,898970,2560186,365458,120120596,28808,104,328.6851,9.94753,4452684,12.71,
a811388cc92def6ef2d639dc062d456c-ContextModel_output_6_3_8.bul_.dimacs.cnf,sc2023-main,ok,INDET,False,9000,45005,428692,49928848,204068,510,116.4679,9.96932,70044,11.51,
a83665715cf54e10f6d5382b97fd909c-PRP_100_400.cnf,sc2023-main,parse_error,rc1,False,,,,,,,,,111119252,23.55,
a8dc92a9c0434576b47c82c94ab5c446-Grain_no_init_ver1_out200_known_last105_0_u.cnf,sc2023-main,ok,INDET,False,2425,23034,470108,62152318,436528,1022,132.2086,9.9871,215020,11.65,
a8dcaf436bda091dad9ca1ff58de7287-asconhashv12_opt64_H10_M2-BPHqhzNzqi_m5_6_U14.c.cnf,sc2023-main,ok,INDET,False,158783,372829,367601,109666940,61952,190,298.3315,9.9965,626176,11.93,
a931fb0e1490883ee7719eab96ed558a-T87.2.0.cnf,sc2023-main,no_decisions,INDET,False,3165161,10917078,0,3480,0,1,,10.241,29586812,15.86,
a98d77ba9d3fbe8b7c55cbf75b2b43a8-TableModel_output_6_3_8.bul_.dimacs.cnf,sc2023-main,ok,INDET,False,4680,39564,1778504,53508085,494047,1023,30.0860,9.95556,31396,11.15,
a9d081cbb33e6051be2512f2a2269d65-hash_table_find_safety_size_20.cnf,sc2023-main,no_decisions,INDET,False,11544110,46323062,0,1081337,0,1,,10.9679,84326960,25.84,
aa0d6b8c63f57956b9aed350f38e0571-intervals244.cnf,sc2023-main,ok,INDET,False,2353,52268,1415939,25602011,292440,701,18.0813,9.94726,98632,11.50,
aa4a861240c0c39b5aa44602133ae5e1-stb_418_125.apx_2_DC-ST.cnf,sc2023-main,ok,INDET,False,836,17015,376566,28038595,263703,634,74.4586,9.98071,38460,11.14,
abe802007c9aed4eab2e758fb130174b-mp1-klieber2017s-1600-022-eq.cnf,sc2023-main,ok,INDET,False,9383,28080,311748,126577276,292099,701,406.0243,9.98751,76624,11.31,
accf33a84bdf211bebbd2111fb7f6b91-DivS_942_11.cnf.sanitized.cnf,sc2023-main,no_decisions,INDET,False,942,936584,0,0,0,1,,10.0329,14360256,13.69,
ad69e0a0880cd377e26260f7e4bc6d51-g2-T49.2.0.cnf,sc2023-main,no_decisions,INDET,False,4158552,14480272,0,286,0,1,,11.0214,38888848,18.58,
ae7e391be73431e5dddf2bbafe95758a-WS_400_24_70_10.apx_2_DC-ST.cnf,sc2023-main,ok,INDET,False,800,15600,375050,29649070,260615,620,79.0536,9.97794,32616,11.11,
ae9522ea003ea9f75891b2d37a5e264b-srhd-sgi-m37-q446.25-n35-p30-s33692332.cnf,sc2023-main,ok,INDET,False,1285,166723,299728,17542078,149726,396,58.5267,9.98058,149996,11.48,
ae9b7950ef1513068bb9339893ec8c50-WCNF_to_alien_14.cnf,sc2023-main,ok,INDET,False,448,5562,672682,18868859,481975,1023,28.0502,9.97279,7844,10.94,
af1e84bc2ab44d87d1c4c0cbf9e601c5-posixpath_expanduser_14.cnf,sc2023-main,ok,INDET,False,392,4116,883388,21393805,632006,1341,24.2179,9.99151,5884,10.96,
af3d5273605b21b9d4c56dd46cbf366a-SCPC-700-82.cnf,sc2023-main,ok,INDET,False,700,27275,241988,5034268,95061,255,20.8038,9.97785,224500,11.63,
af5838e83024d2dee3942be8d8e35fec-TableModel_output_8_4_8.bul_.dimacs.cnf,sc2023-main,ok,INDET,False,14208,190528,2576777,52447977,274113,638,20.3541,9.95915,108404,11.50,
b09585f2346c207e9e14a3daf0de46cf-CNF_to_alien_11.cnf,sc2023-main,ok,INDET,False,231,1880,1193989,24006539,965371,2045,20.1062,9.98923,3300,10.93,
b157aeb75aec9158fed9e16d7fd2da57-ContextModel_output_6_4_6.bul_.dimacs.cnf,sc2023-main,ok,INDET,False,15480,86661,450935,51248146,193536,510,113.6486,9.97529,109816,11.51,
b2145c28dbed385329ea73a06d9c519a-LZMAFile___init___14.cnf,sc2023-main,ok,INDET,False,462,6403,613200,18703206,425490,1021,30.5010,9.96875,9028,10.97,
b3840e295097a13e6697fff6be813eeb-php16-mixed-15percent-blocked.cnf,sc2023-main,ok,INDET,False,412,3654,1025395,29230418,656413,1405,28.5065,9.98592,9596,10.95,
b44611ea7852dd30215cc1cb09e1ab79-PRP_30_39.cnf,sc2023-main,ok,INDET,False,182106,1083336,10335389,147055813,379386,901,14.2284,9.98549,3165212,12.43,
b5b1803491a265b02d595c1fb62d5991-intervals802.cnf,sc2023-main,ok,INDET,False,2329,55647,2093782,25872427,348911,828,12.3568,9.95441,94044,11.36,
b5cede38496a803dcfa155a5f4295c47-SC23_Timetable_C_476_E_50_Cl_32_D_6_T_50.cnf,sc2023-main,ok,INDET,False,248438,803529,12701008,105499803,173677,476,8.3064,9.97311,1353084,12.12,
b6c44ccb3174b7f0a69185b11de86cfa-grs-128-64.cnf,sc2023-main,ok,INDET,False,190772,560192,765417,182429157,275847,641,238.3396,9.97309,1096120,12.08,
b6c6f1081dbb672e8294685d03326b09-intervals80.cnf,sc2023-main,ok,INDET,False,2496,56162,2078131,33864119,419638,1020,16.2955,9.94624,104404,11.49,
